HomeTeam;AwayTeam;FTHG;FTAG;FTR;OddsHome;OddsDraw;OddsAway
Armenia ; Romania ;;;;3.91;3.51;1.99
Andorra ; Hungary ;;;;21.05;6.29;1.19
Austria ; Denmark ;;;;3.1;3.19;2.46
Bosnia & Herzegovina ; France ;;;;9.87;4.64;1.37
England ; Poland ;;;;1.33;5.22;10.24
Germany ; North Macedonia ;;;;1.1;10.12;27.06
 Greece ; Georgia ;;;;1.78;3.34;5.56
Liechtenstein ; Iceland ;;;;24.85;7.93;1.14
Lithuania ; Italy ;;;;25.35;9;1.12
Moldova ; Israel ;;;;10.8;4.52;1.37
Northern Ireland ; Bulgaria ;;;;1.98;3.07;4.68
San Marino ; Albania ;;;;58.95;12.45;1.06
Scotland ; Faroe Islands ;;;;1.19;6.85;17.93
Spain ; Kosovo ;;;;1.08;11.65;33.44
Ukraine ; Kazakhstan ;;;;1.27;5.53;12.99
